# TIC   vsini   r   prot_ls   prot_cat   temperature   logg
7417615 10.8 nan 4.2667 nan nan NaN
7429754 nan 3.1639 0.2511 nan nan nan
7444999 nan 1.1422 1.3769 0.5870 6118.0 4.3833
7445001 nan 1.3990 1.3767 0.5870 6660.0 4.2926
7463267 nan 1.3885 5.2556 nan 6628.53 4.2960
7472796 nan 1.0240 5.7726 nan 5767.0 4.4316
7491381 21.1 0.9633 2.1877 nan 5692.0 4.4749
7491678 6.8 0.7756 4.5978 4.5000 4927.0 4.5673
7585952 nan 0.7499 6.5817 nan 5220.0 4.6374
7586485 13.1 1.1126 1.7423 nan 5801.0 4.3625
7600099 nan 2.2418 0.4014 nan 8053.0 nan
7600145 nan 0.2362 0.1625 nan 2948.0 5.0055
7647775 nan 0.4970 0.9618 nan 3362.0 4.7401
7652166 nan 0.1784 0.5529 nan 2867.0 5.1061
7652962 nan 0.2408 0.3957 nan 3056.0 4.9990
7679229 nan 0.7026 12.7116 nan 3965.27 4.5370
7690679 nan 0.1285 6.4619 nan 2837.0 5.2353
7694175 nan 1.6495 0.8911 nan 6928.0 4.1829
7723060 nan 0.2204 0.5026 nan 3199.0 5.0294
7723873 nan 1.0096 2.5049 2.3696 5956.0 4.4672
7724239 nan 0.2366 3.1142 nan 2990.0 5.0050
7737163 8.5 0.6866 18.5422 5.1600 4515.0 NaN
7738824 nan 1.2796 9.0474 nan 6275.0 NaN
7773413 3.6 0.5669 6.9318 nan 3795.0 4.6794
7773681 nan 0.2963 1.9142 nan 3229.0 4.9298
7781209 nan 2.0566 8.0932 nan 6124.08 3.8762
7785194 nan 0.4401 1.3637 nan 3265.0 4.7904
7802067 nan 0.5609 6.1238 nan 3652.0 4.6845
7802700 nan 1.2966 1.0040 nan 5582.0 4.2081
7807668 nan 0.4745 1.8896 nan 3371.0 4.7598
7809817 nan 1.1969 0.6824 nan 5933.0 NaN
7843830 nan 0.3955 1.6869 nan 3334.0 4.8308
7896684 nan 0.8014 4.1408 nan 5052.03 4.5562
7902438 nan 2.2809 0.1005 nan 7353.0 3.9446
7905857 nan 0.3257 12.4499 nan 3477.0 4.8983
7975441 9.3 nan 0.4640 nan nan NaN
7981413 nan 0.5770 3.6542 nan 3804.0 4.6708
8072564 nan 0.3040 1.2852 nan nan 4.9454
8115423 nan 0.6626 5.2459 nan 4534.48 4.6469
8150750 nan 1.6851 2.2804 nan 6881.83 4.1594
8153514 nan 13.1937 6.1750 nan 4606.89 NaN
8174354 nan 1.2439 10.9834 nan 5561.0 4.2397
8189340 nan 0.4002 2.1842 nan 3330.0 4.8264
8190683 nan 1.1374 0.1329 nan 6329.0 4.4231
8191418 nan 11.3163 1.0042 nan 5040.0 NaN
8198488 nan 3.4683 12.9625 17.8000 4673.8 NaN
8200360 nan 0.5424 13.1624 nan 4163.0 NaN
8200881 7.1 12.0068 1.2302 nan 5018.88 NaN
8245891 nan 0.7423 3.7640 nan 4894.0 4.6000
8246331 nan 0.4229 0.8681 nan 3416.0 4.8058
8254416 nan 0.3542 1.1291 nan 3355.0 4.8699
8259901 nan 0.1349 0.1053 nan nan 5.2158
8259902 nan 0.1789 0.1053 nan 2832.0 5.1051
8261182 nan 0.3613 1.1370 nan 3406.0 4.8630
8261768 nan 0.8904 3.2597 nan 5331.73 4.5027
8263564 nan 10.7390 4.1288 nan 4780.64 NaN
8292043 nan 11.2899 2.9319 nan 4713.0 NaN
8292258 nan 0.4260 6.6580 nan 3375.0 NaN
8292302 nan 0.6423 10.6683 nan 3939.0 4.6159
8292514 nan 0.9942 4.5704 nan 5957.26 4.4805
8345208 nan 4.1024 9.2159 nan nan NaN
8346476 nan 1.4541 0.5193 nan 6922.0 4.2919
8347068 nan 127.6640 11.6970 nan 3036.0 NaN
8348911 nan 0.2612 15.0976 nan 3244.0 4.9717
8353478 nan 1.7133 2.9535 nan 6024.0 4.0181
8373961 nan 0.7020 6.0078 nan 3495.0 4.5681
8395677 2.8 8.4444 2.3232 nan 4992.0 NaN
8398131 nan 75.0774 19.4136 nan 3792.0 NaN
8398178 17.0 42.7157 13.4289 nan 4003.0 NaN
8399874 nan 76.2189 16.3866 90.0000 nan NaN
8400842 nan 1.6868 3.2025 nan 6673.0 nan
8417111 nan 0.2597 1.6077 nan 3165.0 4.9735
8444713 nan 1.6288 1.5720 nan 6536.0 nan
8497089 nan 0.3129 0.5264 nan 3188.0 4.9117
8501064 nan 0.3704 0.6774 nan 3332.0 4.8542
8502290 nan 12.2770 4.7496 nan 4766.0 NaN
8511113 42.0 2.2308 0.9361 nan nan nan
8513057 nan 2.2764 0.7400 nan 6966.23 3.9083
8577961 nan 1.6300 1.9788 nan 7080.0 4.2093
8579206 nan 1.2655 4.3797 nan 5800.0 4.2514
8592228 nan 0.2425 2.0727 nan 3260.0 4.9966
8624617 nan 3.3171 2.4496 4.9059 6090.21 3.4534
8625175 nan 0.8409 8.0741 nan 5445.0 4.5663
8673878 nan 0.3515 6.8610 nan 3286.0 4.8725
8675769 nan 0.6993 4.7259 nan 4068.0 4.5549
8676350 16.0 0.3551 0.9168 0.9166 3242.0 4.8690
8676751 nan 1.0224 1.5590 nan 4663.44 4.2881
8688061 nan 0.3434 4.2506 nan 3349.0 4.8804
8717276 nan 0.7671 5.1424 nan 5386.4 4.6392
8765832 nan 0.0008 1.5794 nan nan nan
8766015 nan 0.3083 5.1894 nan 3210.0 4.9166
8767448 nan 1.5854 1.4476 nan 5914.0 nan
8890043 nan 0.2711 6.9091 6.8500 3215.0 4.9593
8900057 nan 0.4084 0.8208 nan 3394.0 4.8190
8915897 nan 0.7324 2.3219 0.7026 4326.2 4.5410
8915960 nan 0.2523 0.2119 nan 3198.0 4.9832
8916237 nan 1.2478 0.8993 nan 6034.89 NaN
8916239 nan 1.2474 0.9003 nan 6190.0 4.3201
8916517 nan 71.6186 0.3937 nan 3546.0 NaN
8918608 nan 89.3112 18.2426 nan 3857.0 NaN
8940854 nan 0.8247 0.1311 nan 5322.77 4.5678
8941934 nan 8.6030 0.6544 nan 4502.0 NaN
8962122 nan 0.7401 4.9447 nan 4480.0 4.5445
8967175 nan 1.9279 3.4334 nan 6698.0 4.0205
8980199 nan 0.2512 0.3605 nan 3020.0 4.9846
8980866 nan 0.2145 0.2256 nan 3035.0 5.0389
8991030 nan nan 4.4836 nan nan NaN
9003103 4.1 1.0875 12.8165 nan nan NaN
9028484 nan 0.7802 4.7444 nan 5368.0 4.6221
9038217 nan 0.3603 3.3295 nan 3329.0 4.8639
9047842 nan 0.3407 12.4415 nan 3385.0 4.8831
9058724 nan 1.4326 3.5929 3.5605 5412.0 4.0989
9070417 nan 1.4151 3.4034 nan 6295.0 4.2278
9072094 nan 0.3418 4.6430 nan 3252.0 NaN
9094160 nan 0.3007 2.3499 nan nan 4.9250
9102812 nan 2.0352 3.8219 nan 6013.0 3.8669
9103960 nan 2.0552 2.9482 nan 6158.0 3.8809
9116319 nan 0.1929 2.4026 nan 2995.0 5.0771
9137932 nan 0.6016 1.3990 nan 3808.0 4.6499
9139073 nan 0.3172 11.6079 nan 3256.0 4.9072
9139239 nan 0.3089 1.3192 nan 3210.0 4.9160
9150015 20.24 1.2247 1.5133 nan 6221.0 4.3412
9161338 nan 0.2286 1.4706 nan 3096.0 5.0168
9171711 nan 0.7087 9.7551 nan 4647.33 4.6063
9172417 nan 0.5687 0.1226 nan 3551.0 4.6779
9183821 nan 0.5430 3.8910 nan 3857.0 4.7000
9210746 3.9 0.5552 7.2996 nan 3406.0 4.6895
9264910 nan 1.7610 3.7825 nan 6601.22 4.0858
9268360 nan 0.1470 0.1643 nan 50000.0 5.8024
9271387 nan 0.4344 4.9791 nan 3445.0 4.7955
9276368 nan 0.1720 0.3168 nan nan 5.1073
9293388 nan 1.1652 5.6415 nan 6053.0 4.3583
9337981 nan 0.8213 12.7671 nan 3993.0 4.4015
9347168 nan 1.1207 0.7579 nan 4742.0 4.2199
9348006 nan 0.8394 5.3822 nan 5251.0 nan
9354932 nan 0.1696 2.8304 nan nan 5.1366
9358354 nan 0.1800 6.8874 nan 31000.0 5.5996
9360577 nan 0.8160 9.9442 nan 5221.0 4.5641
9378238 nan 0.1658 0.2215 nan 2980.0 5.1340
9380768 nan 1.1020 0.8110 nan 4756.0 4.2373
9383184 nan 0.4259 1.8328 nan 3428.0 4.8031
9383386 nan 0.5119 2.7682 nan 3549.0 4.7270
9391225 nan 0.4933 3.2755 nan 3470.0 4.7433
9391226 3.1 0.4445 3.2905 nan 3362.0 4.7864
9430704 nan 1.0583 1.7933 nan 6118.0 4.4510
9433212 nan 1.3970 4.9790 nan 5878.0 4.1730
9434734 nan 0.3291 0.7242 nan 3216.0 4.8949
9438270 nan 84.1135 23.8678 nan 3277.0 NaN
9438317 nan 0.5655 3.6973 nan 3811.0 4.6806
9439380 nan 9.7322 1.7840 nan 5029.0 NaN
9457998 nan 1.6769 0.4172 nan 7205.0 nan
9462585 nan 1.5827 2.4145 nan 6029.0 4.0877
9478588 nan 0.1510 5.1060 nan nan 5.1449
9524429 138.0 2.0224 0.2809 nan nan NaN
9525652 nan nan 2.9087 nan nan NaN
9531502 nan 18.2875 0.8074 nan 4551.0 NaN
9560142 nan 0.0071 0.1465 nan nan NaN
9560459 nan 0.6739 0.7540 nan 3947.0 4.5903
9564531 nan 1.7366 23.8678 nan 5763.0 3.9723
9566042 nan 3.4701 0.1990 nan 8653.0 nan
9591342 nan 0.7024 5.2116 nan 5075.04 NaN
9593659 nan 128.9340 16.1751 nan 3188.0 NaN
9596048 nan 82.5116 15.0681 nan 3651.0 NaN
9624343 nan 0.5860 5.3369 nan 3577.0 4.6631
9632427 nan 10.2288 4.9933 nan 4959.0 NaN
9664841 nan 0.5260 12.0183 nan nan 4.7500
9666504 4.0 10.6065 3.5178 nan 4647.24 NaN
9699512 nan 0.2508 0.2842 nan 3204.0 4.9853
9703633 nan 1.2039 1.8494 nan 6042.0 4.3261
9708387 19.4 1.3971 1.1573 nan 5841.0 NaN
9710105 nan 17.5417 2.3029 nan 4629.0 NaN
9727019 nan 38.9958 4.5280 nan 3921.0 NaN
9781916 nan 9.5442 2.9825 nan 4912.0 NaN
9786384 nan 15.7076 1.8814 nan 4865.0 NaN
9804671 nan 0.3496 0.8163 nan 3405.0 4.8743
9805036 nan 0.5191 10.0253 nan 3620.0 4.7207
9824479 nan 1.0821 9.0508 nan 5732.0 4.3782
9835747 nan 0.3165 7.7618 nan 3301.0 4.9079
9841395 nan 0.6941 5.7978 nan 5879.0 4.7826
9843457 nan 0.3498 2.7555 nan 3118.0 4.8741
9843504 nan 0.2712 13.5583 nan 3352.0 4.9592
9844064 nan 1.8542 3.4590 nan 6695.0 4.0537
9844886 nan 0.5789 0.7664 nan 3879.0 4.6910
9845653 nan 0.4243 7.6842 nan 3211.0 4.8045
9846866 nan 1.0636 2.8338 nan 5596.0 NaN
9846883 nan 1.0098 8.5962 nan 5917.3 4.4619
9846946 nan 0.9714 1.7398 nan 3823.0 4.2312
9857737 nan 0.8543 6.1498 nan 6209.33 4.6519
9858228 nan 0.4660 4.1261 nan 3431.0 4.7673
9858404 nan 2.1911 0.3915 nan 6337.0 nan
9858444 nan 0.3809 4.7383 nan 3324.0 4.8443
